fecha,target,modelo,real,prediccion
2024-06-01,cif_usd,Naive_12,1264234688.35,1254509358.27
2024-07-01,cif_usd,Naive_12,1464702071.8,1130046296.26
2024-08-01,cif_usd,Naive_12,1559999561.18,1215499500.04
2024-09-01,cif_usd,Naive_12,1477521422.48,1197684673.87
2024-10-01,cif_usd,Naive_12,1590818301.28,1192865871.27
2024-11-01,cif_usd,Naive_12,1632666525.88,1208643118.44
2024-12-01,cif_usd,Naive_12,1569950483.41,1281493853.02
2025-01-01,cif_usd,Naive_12,1571568134.07,1333517582.55
2025-02-01,cif_usd,Naive_12,1643567656.45,1310422725.79
2025-03-01,cif_usd,Naive_12,1490016997.35,1147387556.45
2025-04-01,cif_usd,Naive_12,1631425034.9,1395672502.95
2025-05-01,cif_usd,Naive_12,1803484764.6,1538977930.88
2025-06-01,cif_usd,Naive_12,1586564994.86,1264234688.35
2025-07-01,cif_usd,Naive_12,1948658767.02,1464702071.8
2025-08-01,cif_usd,Naive_12,1780029167.7,1559999561.18
2025-09-01,cif_usd,Naive_12,1757863989.54,1477521422.48
2025-10-01,cif_usd,Naive_12,1853763856.99,1590818301.28
2025-11-01,cif_usd,Naive_12,1678903027.39,1632666525.88
2025-12-01,cif_usd,Naive_12,1817763647.51,1569950483.41
2026-01-01,cif_usd,Naive_12,1847330886.38,1571568134.07
2026-02-01,cif_usd,Naive_12,1811953396.11,1643567656.45
2026-03-01,cif_usd,Naive_12,1896814526.71,1490016997.35
2026-04-01,cif_usd,Naive_12,1940605241.99,1631425034.9
2026-05-01,cif_usd,Naive_12,1980453263.87,1803484764.6
2024-06-01,cif_usd,Ridge,1264234688.35,1368492043.6785226
2024-07-01,cif_usd,Ridge,1464702071.8,1282032923.044429
2024-08-01,cif_usd,Ridge,1559999561.18,1474059718.7876701
2024-09-01,cif_usd,Ridge,1477521422.48,1550072053.9338956
2024-10-01,cif_usd,Ridge,1590818301.28,1482434728.9293616
2024-11-01,cif_usd,Ridge,1632666525.88,1513322227.5604577
2024-12-01,cif_usd,Ridge,1569950483.41,1462376068.4603179
2025-01-01,cif_usd,Ridge,1571568134.07,1468235063.158202
2025-02-01,cif_usd,Ridge,1643567656.45,1468959845.235976
2025-03-01,cif_usd,Ridge,1490016997.35,1462851839.102985
2025-04-01,cif_usd,Ridge,1631425034.9,1431848725.048261
2025-05-01,cif_usd,Ridge,1803484764.6,1462955210.44404
2025-06-01,cif_usd,Ridge,1586564994.86,1619136970.403165
2025-07-01,cif_usd,Ridge,1948658767.02,1563206527.5515585
2025-08-01,cif_usd,Ridge,1780029167.7,1924206308.8536105
2025-09-01,cif_usd,Ridge,1757863989.54,1726606398.4296823
2025-10-01,cif_usd,Ridge,1853763856.99,1764411308.4118338
2025-11-01,cif_usd,Ridge,1678903027.39,1833738260.8124723
2025-12-01,cif_usd,Ridge,1817763647.51,1659249167.2928207
2026-01-01,cif_usd,Ridge,1847330886.38,1745836485.5596187
2026-02-01,cif_usd,Ridge,1811953396.11,1765575433.6519053
2026-03-01,cif_usd,Ridge,1896814526.71,1799679831.6321979
2026-04-01,cif_usd,Ridge,1940605241.99,1894702658.4117696
2026-05-01,cif_usd,Ridge,1980453263.87,1913232583.1832411
2024-06-01,cif_usd,HistGradientBoosting,1264234688.35,1378292231.4833357
2024-07-01,cif_usd,HistGradientBoosting,1464702071.8,1286460173.422034
2024-08-01,cif_usd,HistGradientBoosting,1559999561.18,1532874489.853377
2024-09-01,cif_usd,HistGradientBoosting,1477521422.48,1406277556.5506575
2024-10-01,cif_usd,HistGradientBoosting,1590818301.28,1602585402.664188
2024-11-01,cif_usd,HistGradientBoosting,1632666525.88,1648511387.1470928
2024-12-01,cif_usd,HistGradientBoosting,1569950483.41,1468176466.3816366
2025-01-01,cif_usd,HistGradientBoosting,1571568134.07,1371113892.4002888
2025-02-01,cif_usd,HistGradientBoosting,1643567656.45,1412489699.417459
2025-03-01,cif_usd,HistGradientBoosting,1490016997.35,1426375457.2800744
2025-04-01,cif_usd,HistGradientBoosting,1631425034.9,1488284957.9303114
2025-05-01,cif_usd,HistGradientBoosting,1803484764.6,1473113784.8304813
2025-06-01,cif_usd,HistGradientBoosting,1586564994.86,1547467202.0901392
2025-07-01,cif_usd,HistGradientBoosting,1948658767.02,1593611863.6502488
2025-08-01,cif_usd,HistGradientBoosting,1780029167.7,1782856042.5697978
2025-09-01,cif_usd,HistGradientBoosting,1757863989.54,1628543102.5827847
2025-10-01,cif_usd,HistGradientBoosting,1853763856.99,1728592208.5730789
2025-11-01,cif_usd,HistGradientBoosting,1678903027.39,1703042529.2313857
2025-12-01,cif_usd,HistGradientBoosting,1817763647.51,1684776930.4845958
2026-01-01,cif_usd,HistGradientBoosting,1847330886.38,1765456305.2899504
2026-02-01,cif_usd,HistGradientBoosting,1811953396.11,1722389029.3650706
2026-03-01,cif_usd,HistGradientBoosting,1896814526.71,1723390449.7640488
2026-04-01,cif_usd,HistGradientBoosting,1940605241.99,1778141459.1167777
2026-05-01,cif_usd,HistGradientBoosting,1980453263.87,1802169358.0170584
2024-06-01,peso_neto_kg,Naive_12,930664296.19,815275707.16
2024-07-01,peso_neto_kg,Naive_12,991487818.23,833459224.08
2024-08-01,peso_neto_kg,Naive_12,1083967677.69,990494186.79
2024-09-01,peso_neto_kg,Naive_12,978002985.0,969077170.38
2024-10-01,peso_neto_kg,Naive_12,1060155291.45,889633474.5
2024-11-01,peso_neto_kg,Naive_12,1186755906.93,838872616.21
2024-12-01,peso_neto_kg,Naive_12,1164213698.57,977774872.37
2025-01-01,peso_neto_kg,Naive_12,1115690908.38,1046693894.64
2025-02-01,peso_neto_kg,Naive_12,1251014746.32,960549411.9
2025-03-01,peso_neto_kg,Naive_12,1150539304.91,965033871.66
2025-04-01,peso_neto_kg,Naive_12,1246425404.66,1044311684.55
2025-05-01,peso_neto_kg,Naive_12,1312429150.63,1217197470.15
2025-06-01,peso_neto_kg,Naive_12,1179438538.12,930664296.19
2025-07-01,peso_neto_kg,Naive_12,1204109195.79,991487818.23
2025-08-01,peso_neto_kg,Naive_12,1190370637.7,1083967677.69
2025-09-01,peso_neto_kg,Naive_12,1277378332.51,978002985.0
2025-10-01,peso_neto_kg,Naive_12,1273664038.48,1060155291.45
2025-11-01,peso_neto_kg,Naive_12,1087619688.01,1186755906.93
2025-12-01,peso_neto_kg,Naive_12,1310584840.77,1164213698.57
2026-01-01,peso_neto_kg,Naive_12,1332863166.32,1115690908.38
2026-02-01,peso_neto_kg,Naive_12,1218746382.04,1251014746.32
2026-03-01,peso_neto_kg,Naive_12,1249994753.9,1150539304.91
2026-04-01,peso_neto_kg,Naive_12,1352641712.16,1246425404.66
2026-05-01,peso_neto_kg,Naive_12,1151370838.21,1312429150.63
2024-06-01,peso_neto_kg,Ridge,930664296.19,947391474.5858469
2024-07-01,peso_neto_kg,Ridge,991487818.23,900078543.6227778
2024-08-01,peso_neto_kg,Ridge,1083967677.69,1029685150.9991473
2024-09-01,peso_neto_kg,Ridge,978002985.0,1062180026.6737425
2024-10-01,peso_neto_kg,Ridge,1060155291.45,937992816.6373955
2024-11-01,peso_neto_kg,Ridge,1186755906.93,967307768.9301099
2024-12-01,peso_neto_kg,Ridge,1164213698.57,985678175.3652294
2025-01-01,peso_neto_kg,Ridge,1115690908.38,991603028.5451146
2025-02-01,peso_neto_kg,Ridge,1251014746.32,1024662088.2200304
2025-03-01,peso_neto_kg,Ridge,1150539304.91,1051694209.4968868
2025-04-01,peso_neto_kg,Ridge,1246425404.66,1034108970.5991776
2025-05-01,peso_neto_kg,Ridge,1312429150.63,1140923766.8117144
2025-06-01,peso_neto_kg,Ridge,1179438538.12,1113191536.9049788
2025-07-01,peso_neto_kg,Ridge,1204109195.79,1052155761.0187109
2025-08-01,peso_neto_kg,Ridge,1190370637.7,1264584639.940579
2025-09-01,peso_neto_kg,Ridge,1277378332.51,1081054668.9181795
2025-10-01,peso_neto_kg,Ridge,1273664038.48,1184508951.1044729
2025-11-01,peso_neto_kg,Ridge,1087619688.01,1214421716.4102836
2025-12-01,peso_neto_kg,Ridge,1310584840.77,1115021246.7079637
2026-01-01,peso_neto_kg,Ridge,1332863166.32,1235384878.0074813
2026-02-01,peso_neto_kg,Ridge,1218746382.04,1287750255.480505
2026-03-01,peso_neto_kg,Ridge,1249994753.9,1248158559.7877064
2026-04-01,peso_neto_kg,Ridge,1352641712.16,1323565992.5367727
2026-05-01,peso_neto_kg,Ridge,1151370838.21,1327883939.9385889
2024-06-01,peso_neto_kg,HistGradientBoosting,930664296.19,857843895.6403207
