archive,source,status,rows_total,rows_buenaventura
Impo_2012.zip,Impo_2012/Abril.zip!Abril.csv,procesado,221224.0,20583.0
Impo_2012.zip,Impo_2012/Agosto.zip!Agosto.csv,procesado,255109.0,27579.0
Impo_2012.zip,Impo_2012/Diciembre.zip!Diciembre.csv,procesado,246577.0,23703.0
Impo_2012.zip,Impo_2012/Enero.zip!Enero.csv,procesado,203194.0,20717.0
Impo_2012.zip,Impo_2012/Febrero.zip!Febrero.csv,procesado,223705.0,21713.0
Impo_2012.zip,Impo_2012/Julio.zip!Julio.csv,procesado,244012.0,25218.0
Impo_2012.zip,Impo_2012/Junio.zip!Junio.csv,procesado,238616.0,24070.0
Impo_2012.zip,Impo_2012/Marzo.zip!Marzo.csv,procesado,244164.0,20364.0
Impo_2012.zip,Impo_2012/Mayo.zip!Mayo.csv,procesado,251272.0,23646.0
Impo_2012.zip,Impo_2012/Noviembre.zip!Noviembre.csv,procesado,254446.0,25790.0
Impo_2012.zip,Impo_2012/Octubre.zip!Octubre.csv,procesado,279109.0,29169.0
Impo_2012.zip,Impo_2012/Septiembre.zip!Septiembre.csv,procesado,244950.0,27069.0
Impo_2013.zip,Impo_2013/Abril.zip!Abril.csv,procesado,265277.0,25526.0
Impo_2013.zip,Impo_2013/Agosto.zip!Agosto.csv,procesado,263279.0,28694.0
Impo_2013.zip,Impo_2013/Diciembre.zip!Diciembre.csv,procesado,247614.0,29807.0
Impo_2013.zip,Impo_2013/Enero.zip!Enero.csv,procesado,228662.0,24530.0
Impo_2013.zip,Impo_2013/Febrero.zip!Febrero.csv,procesado,229655.0,23408.0
Impo_2013.zip,Impo_2013/Julio.zip!Julio.csv,procesado,264416.0,28617.0
Impo_2013.zip,Impo_2013/Junio.zip!Junio.csv,procesado,229219.0,24689.0
Impo_2013.zip,Impo_2013/Marzo.zip!Marzo.csv,procesado,222287.0,21715.0
Impo_2013.zip,Impo_2013/Mayo.zip!Mayo.csv,procesado,254407.0,25818.0
Impo_2013.zip,Impo_2013/Noviembre.zip!Noviembre.csv,procesado,267652.0,26984.0
Impo_2013.zip,Impo_2013/Octubre.zip!Octubre.csv,procesado,283199.0,33058.0
Impo_2013.zip,Impo_2013/Septiembre.zip!Septiembre.csv,procesado,261757.0,28288.0
Impo_2014.zip,Impo_2014/Abril.zip!Abril.csv,procesado,264714.0,29407.0
Impo_2014.zip,Impo_2014/Agosto.zip!Agosto.csv,procesado,257282.0,32324.0
Impo_2014.zip,Impo_2014/Diciembre.zip!Diciembre.csv,procesado,269228.0,33681.0
Impo_2014.zip,Impo_2014/Enero.zip!Enero.csv,procesado,231244.0,26580.0
Impo_2014.zip,Impo_2014/Febrero.zip!Febrero.csv,procesado,231875.0,26803.0
Impo_2014.zip,Impo_2014/Julio.zip!Julio.csv,procesado,297722.0,36712.0
Impo_2014.zip,Impo_2014/Junio.zip!Junio.csv,procesado,228125.0,26485.0
Impo_2014.zip,Impo_2014/Marzo.zip!Marzo.csv,procesado,245157.0,26273.0
Impo_2014.zip,Impo_2014/Mayo.zip!Mayo.csv,procesado,269597.0,31276.0
Impo_2014.zip,Impo_2014/Noviembre.zip!Noviembre.csv,procesado,268444.0,31458.0
Impo_2014.zip,Impo_2014/Octubre.zip!Octubre.csv,procesado,292472.0,36035.0
Impo_2014.zip,Impo_2014/Septiembre.zip!Septiembre.csv,procesado,279060.0,34866.0
Impo_2015.zip,Impo_2015/Abril.zip!Abril.csv,procesado,249124.0,26141.0
Impo_2015.zip,Impo_2015/Agosto.zip!Agosto.csv,procesado,252967.0,33851.0
Impo_2015.zip,Impo_2015/Diciembre.zip!Diciembre.csv,procesado,236906.0,31007.0
Impo_2015.zip,Impo_2015/Enero.zip!Enero.csv,procesado,210281.0,27860.0
Impo_2015.zip,Impo_2015/Febrero.zip!Febrero.csv,procesado,258850.0,30368.0
Impo_2015.zip,Impo_2015/Julio.zip!Julio.csv,procesado,270837.0,36352.0
Impo_2015.zip,Impo_2015/Junio.zip!Junio.csv,procesado,235811.0,29831.0
Impo_2015.zip,Impo_2015/Marzo.zip!Marzo.csv,procesado,251596.0,30901.0
Impo_2015.zip,Impo_2015/Mayo.zip!Mayo.csv,procesado,243649.0,27519.0
Impo_2015.zip,Impo_2015/Noviembre.zip!Noviembre.csv,procesado,248380.0,30039.0
Impo_2015.zip,Impo_2015/Octubre.zip!Octubre.csv,procesado,259697.0,32717.0
Impo_2015.zip,Impo_2015/Septiembre.zip!Septiembre.csv,procesado,260382.0,34182.0
Impo_2016.zip,Impo_2016/Abril.zip!Abril.csv,procesado,238894.0,25623.0
Impo_2016.zip,Impo_2016/Agosto.zip!Agosto.csv,procesado,278213.0,39595.0
Impo_2016.zip,Impo_2016/Diciembre.zip!Diciembre.csv,procesado,260316.0,39658.0
Impo_2016.zip,Impo_2016/Enero.zip!Enero.csv,procesado,201782.0,27894.0
Impo_2016.zip,Impo_2016/Febrero.zip!Febrero.csv,procesado,228031.0,27564.0
Impo_2016.zip,Impo_2016/Julio.zip!Julio.csv,procesado,228446.0,33361.0
Impo_2016.zip,Impo_2016/Junio.zip!Junio.csv,procesado,241307.0,35251.0
Impo_2016.zip,Impo_2016/Marzo.zip!Marzo.csv,procesado,227234.0,29084.0
Impo_2016.zip,Impo_2016/Mayo.zip!Mayo.csv,procesado,223597.0,31203.0
Impo_2016.zip,Impo_2016/Noviembre.zip!Noviembre.csv,procesado,273801.0,36366.0
Impo_2016.zip,Impo_2016/Octubre.zip!Octubre.csv,procesado,255803.0,34023.0
Impo_2016.zip,Impo_2016/Septiembre.zip!Septiembre.csv,procesado,263311.0,36437.0
Impo_2017.zip,Impo_2017/Abril.zip!Abril.csv,procesado,235942.0,30256.0
Impo_2017.zip,Impo_2017/Agosto.zip!Agosto.csv,procesado,291580.0,39754.0
Impo_2017.zip,Impo_2017/Diciembre.zip!Diciembre.csv,procesado,248710.0,36530.0
Impo_2017.zip,Impo_2017/Enero.zip!Enero.csv,procesado,234232.0,33599.0
Impo_2017.zip,Impo_2017/Febrero.zip!Febrero.csv,procesado,237494.0,33067.0
Impo_2017.zip,Impo_2017/Julio.zip!Julio.csv,procesado,269886.0,42011.0
Impo_2017.zip,Impo_2017/Junio.zip!Junio.csv,procesado,262024.0,44452.0
Impo_2017.zip,Impo_2017/Marzo.zip!Marzo.csv,procesado,269617.0,30292.0
Impo_2017.zip,Impo_2017/Mayo.zip!Mayo.csv,procesado,255142.0,32791.0
Impo_2017.zip,Impo_2017/Noviembre.zip!Noviembre.csv,procesado,287151.0,37846.0
Impo_2017.zip,Impo_2017/Octubre.zip!Octubre.csv,procesado,280111.0,35090.0
Impo_2017.zip,Impo_2017/Septiembre.zip!Septiembre.csv,procesado,254706.0,35025.0
Impo_2018.zip,Impo_2018/Abril.zip!M10418.csv,procesado,280565.0,33935.0
Impo_2018.zip,Impo_2018/Agosto.zip!Agosto.csv,procesado,312867.0,41983.0
Impo_2018.zip,Impo_2018/Diciembre.zip!Diciembre.csv,procesado,271227.0,38482.0
Impo_2018.zip,Impo_2018/Enero.zip!Enero_2018.csv,procesado,258321.0,36381.0
Impo_2018.zip,Impo_2018/Febrero.zip!Febrero.csv,procesado,247049.0,30830.0
Impo_2018.zip,Impo_2018/Julio.zip!Julio.csv,procesado,285737.0,39768.0
Impo_2018.zip,Impo_2018/Junio.zip!Junio.csv,procesado,251394.0,37189.0
Impo_2018.zip,Impo_2018/Marzo.zip!Marzo.csv,procesado,251860.0,32515.0
Impo_2018.zip,Impo_2018/Mayo.zip!Mayo.csv,procesado,273545.0,35056.0
Impo_2018.zip,Impo_2018/Noviembre.zip!Noviembre.csv,procesado,302924.0,38396.0
Impo_2018.zip,Impo_2018/Octubre.zip!Octubre.csv,procesado,319245.0,46305.0
Impo_2018.zip,Impo_2018/Septiembre.zip!Septiembre.csv,procesado,266997.0,34155.0
Impo_2019.zip,Impo_2019/Abril.zip!Abril.csv,procesado,284706.0,34913.0
Impo_2019.zip,Impo_2019/Agosto.zip!Agosto.csv,procesado,311965.0,44293.0
Impo_2019.zip,Impo_2019/Diciembre.zip!Diciembre.csv,procesado,300021.0,42387.0
Impo_2019.zip,Impo_2019/Enero.zip!Enero.csv,procesado,274238.0,38774.0
Impo_2019.zip,Impo_2019/Febrero.zip!Febrero.csv,procesado,261863.0,35807.0
Impo_2019.zip,Impo_2019/Julio.zip!Julio.csv,procesado,315515.0,44497.0
Impo_2019.zip,Impo_2019/Junio.zip!Junio.csv,procesado,260908.0,36431.0
Impo_2019.zip,Impo_2019/Marzo.zip!Marzo.csv,procesado,274521.0,33350.0
Impo_2019.zip,Impo_2019/Mayo.zip!M10519.csv,procesado,295522.0,38275.0
Impo_2019.zip,Impo_2019/Noviembre.zip!Noviembre.csv,procesado,305244.0,38659.0
Impo_2019.zip,Impo_2019/Octubre.zip!Octubre.csv,procesado,322429.0,44448.0
Impo_2019.zip,Impo_2019/Septiembre.zip!Septiembre.csv,procesado,297434.0,40574.0
Impo_2020.zip,Impo_2020/Abril.zip!Abril.csv,procesado,174048.0,30960.0
Impo_2020.zip,Impo_2020/Agosto.zip!Agosto.csv,procesado,220206.0,33564.0
Impo_2020.zip,Impo_2020/Diciembre.zip!Diciembre.csv,procesado,277650.0,40923.0
Impo_2020.zip,Impo_2020/Enero.zip!Enero.csv,procesado,291371.0,42059.0
Impo_2020.zip,Impo_2020/Febrero.zip!Febrero.csv,procesado,283768.0,38098.0
Impo_2020.zip,Impo_2020/Julio.zip!Julio.csv,procesado,229403.0,35175.0
Impo_2020.zip,Impo_2020/Junio.zip!Junio.csv,procesado,176448.0,22104.0
Impo_2020.zip,Impo_2020/Marzo.zip!Marzo.csv,procesado,250798.0,27405.0
Impo_2020.zip,Impo_2020/Mayo.zip!Mayo.csv,procesado,170039.0,25169.0
Impo_2020.zip,Impo_2020/Noviembre.zip!Noviembre.csv,procesado,265197.0,34718.0
Impo_2020.zip,Impo_2020/Octubre.zip!Octubre.csv,procesado,275359.0,37015.0
Impo_2020.zip,Impo_2020/Septiembre.zip!Septiembre.csv,procesado,247456.0,33640.0
Impo_2021_1.zip,Impo_2021_1/Abril.zip!M10421.csv,procesado,268515.0,32581.0
Impo_2021_1.zip,Impo_2021_1/Enero.zip!Enero.csv,procesado,241513.0,34689.0
Impo_2021_1.zip,Impo_2021_1/Febrero.zip!Febrero.csv,procesado,253097.0,37344.0
Impo_2021_1.zip,Impo_2021_1/Junio.zip!Junio.csv,procesado,262476.0,30107.0
Impo_2021_1.zip,Impo_2021_1/Marzo.zip!Marzo.csv,procesado,299408.0,42407.0
Impo_2021_1.zip,Impo_2021_1/Mayo.zip!Mayo.csv,procesado,221376.0,31354.0
