fecha,cif_usd,peso_neto_kg,cif_usd_lag_1,cif_usd_lag_2,cif_usd_lag_3,cif_usd_lag_6,cif_usd_lag_12,cif_usd_media_3,cif_usd_media_12,peso_neto_kg_lag_1,peso_neto_kg_lag_2,peso_neto_kg_lag_3,peso_neto_kg_lag_6,peso_neto_kg_lag_12,peso_neto_kg_media_3,peso_neto_kg_media_12,fob_usd_lag_1,flete_usd_lag_1,seguros_usd_lag_1,registros_lag_1,paises_origen_lag_1,capitulos_lag_1,tendencia,mes_sin,mes_cos,trm_cop_usd_lag_1,trm_volatilidad_lag_1,oni_anomalia_lag_1
2012-01-01,903578731.81,749297996.43,,,,,,,,,,,,,,,,,,,,,0,0.49999999999999994,0.8660254037844387,,,
2012-02-01,961026439.93,828969934.71,903578731.81,,,,,,,749297996.43,,,,,,,844140746.92,55749613.2,1885926.45,20717.0,68.0,92.0,1,0.8660254037844386,0.5000000000000001,1842.6505555555557,33.73992127893135,-0.72
2012-03-01,947091021.51,784204947.07,961026439.93,903578731.81,,,,,,828969934.71,749297996.43,,,,,,895316235.29,62603215.16,1496651.32,21713.0,73.0,92.0,2,1.0,6.123233995736766e-17,1783.745,9.36346904899995,-0.57
2012-04-01,913516501.13,649403066.02,947091021.51,961026439.93,903578731.81,,,937232064.4166666,,784204947.07,828969934.71,749297996.43,,,787490959.4033333,,885529384.06,58617320.59,1376245.49,20364.0,73.0,94.0,3,0.8660254037844387,-0.4999999999999998,1767.5118181818182,9.208696529633974,-0.46
2012-05-01,1100253483.6,832133835.27,913516501.13,947091021.51,961026439.93,,,940544654.1899999,,649403066.02,784204947.07,828969934.71,,,754192649.2666668,,855489927.28,54977428.0,1543493.9,20583.0,78.0,94.0,4,0.49999999999999994,-0.8660254037844387,1774.1172222222222,8.116216015995397,-0.36
2012-06-01,1046155149.13,854424658.26,1100253483.6,913516501.13,947091021.51,,,986953668.7466666,,832133835.27,649403066.02,784204947.07,,,755247282.7866668,,1027355517.38,69486636.57,1673211.31,23646.0,73.0,93.0,5,1.2246467991473532e-16,-1.0,1790.9135,32.18788204065547,-0.17
2012-07-01,1044248850.44,823341109.38,1046155149.13,1100253483.6,913516501.13,903578731.81,,1019975044.6199999,,854424658.26,832133835.27,649403066.02,749297996.43,,778653853.1833334,,973646147.93,68871143.08,1551609.58,24070.0,79.0,92.0,6,-0.4999999999999997,-0.8660254037844388,1792.2315,19.40714091988325,0.06
2012-08-01,1120812736.09,862222676.65,1044248850.44,1046155149.13,1100253483.6,961026439.93,,1063552494.39,,823341109.38,854424658.26,832133835.27,828969934.71,,836633200.9699999,,971349816.36,69723581.48,1608052.85,25218.0,77.0,91.0,7,-0.8660254037844385,-0.5000000000000004,1785.141111111111,7.858660182835299,0.3
2012-09-01,970375778.79,712659960.15,1120812736.09,1044248850.44,1046155149.13,947091021.51,,1070405578.5533333,,862222676.65,823341109.38,854424658.26,784204947.07,,846662814.7633333,,1043783581.38,73153493.98,1873603.44,27579.0,83.0,93.0,8,-1.0,-1.8369701987210297e-16,1806.340952380952,17.010609308535066,0.41
2012-10-01,1031955472.63,715221765.25,970375778.79,1120812736.09,1044248850.44,913516501.13,,1045145788.4399999,,712659960.15,862222676.65,823341109.38,649403066.02,,799407915.3933333,,905024689.17,61973223.19,1474924.37,27069.0,74.0,93.0,9,-0.8660254037844386,0.5000000000000001,1801.948,9.1509134430452,0.41
2012-11-01,1069550358.15,949598508.19,1031955472.63,970375778.79,1120812736.09,1100253483.6,,1041047995.8366666,,715221765.25,712659960.15,862222676.65,832133835.27,,763368134.0166665,,965197382.51,63268919.37,1593771.61,29169.0,73.0,93.0,10,-0.5000000000000004,0.8660254037844384,1805.6735,11.797499411672828,0.31
2012-12-01,929045303.38,710814219.49,1069550358.15,1031955472.63,970375778.79,1046155149.13,,1023960536.5233332,,949598508.19,715221765.25,712659960.15,854424658.26,,792493411.1966667,,998362095.59,67403378.99,1895488.84,25790.0,78.0,90.0,11,-2.4492935982947064e-16,1.0,1820.5263157894735,4.991597618360832,0.13
2013-01-01,1008129464.59,849687870.45,929045303.38,1069550358.15,1031955472.63,1044248850.44,903578731.81,1010183711.3866667,1003134152.2158333,710814219.49,949598508.19,715221765.25,823341109.38,749297996.43,791878164.31,789357723.0725001,867067882.99,56980751.67,1528663.14,23703.0,78.0,92.0,12,0.49999999999999994,0.8660254037844387,1793.939,14.538767014977063,-0.1
2013-02-01,902330763.33,745695885.8199999,1008129464.59,929045303.38,1069550358.15,1120812736.09,961026439.93,1002241708.7066666,1011846713.2808334,849687870.45,710814219.49,949598508.19,862222676.65,828969934.71,836700199.3766667,797723545.9074999,945798821.56,59170019.8,1517243.57,24530.0,80.0,92.0,13,0.8660254037844386,0.5000000000000001,1770.2257894736842,7.243942539030194,-0.29
2013-03-01,840500207.81,588586867.36,902330763.33,1008129464.59,929045303.38,970375778.79,947091021.51,946501843.7666668,1006955406.8975,745695885.8199999,849687870.45,710814219.49,712659960.15,784204947.07,768732658.5866666,790784041.8333334,842896734.9000001,56504242.0,1416188.25,23408.0,76.0,92.0,14,1.0,6.123233995736766e-17,1791.794210526316,12.136659029471986,-0.29
2013-04-01,1059222815.78,915051154.58,840500207.81,902330763.33,1008129464.59,1031955472.63,913516501.13,916986811.91,998072839.0891666,588586867.36,745695885.8199999,849687870.45,715221765.25,649403066.02,727990207.8766667,774482535.1908334,790553044.9,47349680.96,1371703.65,21715.0,76.0,94.0,15,0.8660254037844387,-0.4999999999999998,1811.0663157894735,10.361310626302863,-0.21
