fecha,cif_usd,fob_usd,peso_neto_kg,flete_usd,seguros_usd,registros,paises_origen,capitulos,precio_implicito_usd_kg
2012-01-01,903578731.81,844140746.92,749297996.43,55749613.2,1885926.45,20717,68,92,1.205900370900582
2012-02-01,961026439.93,895316235.29,828969934.71,62603215.16,1496651.32,21713,73,92,1.1593019236170459
2012-03-01,947091021.51,885529384.06,784204947.07,58617320.59,1376245.49,20364,73,94,1.2077085525264613
2012-04-01,913516501.13,855489927.28,649403066.02,54977428.0,1543493.9,20583,78,94,1.4067018604157098
2012-05-01,1100253483.6,1027355517.3800001,832133835.27,69486636.57,1673211.31,23646,73,93,1.3222073625248083
2012-06-01,1046155149.13,973646147.93,854424658.26,68871143.08,1551609.58,24070,79,92,1.2243971882324314
2012-07-01,1044248850.44,971349816.36,823341109.38,69723581.48,1608052.85,25218,77,91,1.268306463194034
2012-08-01,1120812736.09,1043783581.38,862222676.65,73153493.98,1873603.44,27579,83,93,1.2999109933465236
2012-09-01,970375778.79,905024689.17,712659960.15,61973223.19,1474924.37,27069,74,93,1.3616252252838172
2012-10-01,1031955472.63,965197382.51,715221765.25,63268919.37,1593771.61,29169,73,93,1.4428468522197284
2012-11-01,1069550358.15,998362095.59,949598508.19,67403378.99,1895488.84,25790,78,90,1.1263184903150663
2012-12-01,929045303.38,867067882.99,710814219.49,56980751.67,1528663.14,23703,78,92,1.3070156419304302
2013-01-01,1008129464.59,945798821.56,849687870.45,59170019.8,1517243.57,24530,80,92,1.1864703494661968
2013-02-01,902330763.33,842896734.9000001,745695885.8199999,56504242.0,1416188.25,23408,76,92,1.2100519534686147
2013-03-01,840500207.81,790553044.9,588586867.36,47349680.96,1371703.65,21715,76,94,1.4279968759410342
2013-04-01,1059222815.78,983929926.1,915051154.58,61189291.6,12457348.95,25526,82,92,1.1575558486303132
2013-05-01,1089774213.54,1028902014.56,777654800.42,57549132.4,1568522.42,25818,80,92,1.401359848806217
2013-06-01,979689515.62,922655042.47,760885312.11,53948936.54,1501111.42,24689,81,93,1.287565287471823
2013-07-01,1066708668.62,1003612320.19,887859259.87,59862790.89,1606240.62,28617,77,95,1.2014389181188323
2013-08-01,1098406224.29,1032929261.04,920562573.17,62012543.0,1664609.21,28694,79,95,1.1931901820726722
2013-09-01,1007767111.77,946980994.6700001,838617445.14,57648871.21,1471194.27,28288,76,93,1.2017006295424273
2013-10-01,1126678412.53,1061632340.12,891542713.59,61395186.57,1763349.28,33058,78,93,1.2637402508660212
2013-11-01,927851465.23,875498835.55,730838054.07,49451846.23,1333606.49,26984,74,94,1.2695719114006752
2013-12-01,975050386.58,917579432.67,773516433.76,54240362.4,1532601.73,29807,75,92,1.2605425612489705
2014-01-01,1001571824.47,940867160.47,767264708.82,57470086.23,1470049.03,26580,83,92,1.3053797639283424
2014-02-01,967939414.67,906588040.46,778561958.8,58100816.08,1663621.62,26803,72,93,1.2432400578136236
2014-03-01,1037697595.05,970907871.73,1015584341.55,63640534.24,1441115.8,26273,86,92,1.0217739212739834
2014-04-01,1152617131.58,1081880921.68,1139970953.61,67232104.97,1653107.73,29407,81,91,1.011093421222666
2014-05-01,1336612759.02,1222532586.16,1116641946.28,109545956.91,1904404.75,31276,83,93,1.196993148495643
2014-06-01,1026883161.85,966750007.47,851542249.54,57019026.42,1443128.8599999999,26485,83,91,1.2059098211565176
2014-07-01,1310355051.57,1235929776.18,930688766.66,70391882.77,1938828.27,36712,87,93,1.4079411920620075
2014-08-01,1146384481.44,1075987276.2,907671708.84,66864051.1,1664192.65,32324,87,91,1.2629946160876533
2014-09-01,1163365860.48,1093733586.06,897461281.36,65826824.65,1792680.78,34866,83,92,1.2962852934636377
2014-10-01,1292792897.9,1215861880.8,948809739.11,72730958.11,2116720.72,36035,83,93,1.3625417663952968
2014-11-01,1116782113.49,1046058085.7,822604403.64,67335675.04,1623653.68,31458,87,95,1.3576174751171675
2014-12-01,1052997032.31,984471962.47,743601790.67,65019093.56,1547098.04,33681,80,88,1.416076515040703
2015-01-01,1034495637.25,965835499.21,1017868538.45,65490693.94,1419798.65,27860,87,90,1.01633521242863
2015-02-01,997053006.43,936026059.37,811596007.93,57821313.8,1469377.21,30368,83,93,1.22850900779196
2015-03-01,1018253601.5,954006672.05,892228984.95,60918090.61,1486147.8399999999,30901,80,93,1.141246942966174
2015-04-01,986316894.98,928058177.3700001,864547972.0899999,55192444.37,1376117.13,26141,78,92,1.1408469244287625
2015-05-01,962042113.29,904688415.59,1048827530.36,54267940.25,1471860.19,27519,82,92,0.9172548254523679
2015-06-01,893874528.65,845987871.56,791405341.83,44689299.02,1384158.81,29831,80,93,1.1294775021142214
2015-07-01,1035131227.63,981369462.9,937738618.09,50143040.96,1480393.76,36352,82,92,1.1038590153601338
2015-08-01,969598898.97,918797076.84,988817567.42,47439300.32,1533388.71,33851,77,90,0.9805639896749156
2015-09-01,926651390.45,877905640.17,918317833.96,45497492.41,1372481.64,34182,85,94,1.009074806327199
2015-10-01,931333443.15,880707887.65,930910184.48,47638024.85,1267677.35,32717,77,90,1.0004546718652954
2015-11-01,862356992.78,820129134.99,852536054.33,39458334.57,1175410.68,30039,79,92,1.0115196752091828
2015-12-01,830515999.73,787657781.73,831513938.86,39909351.77,1329343.68,31007,83,94,0.9987998527945687
2016-01-01,826659229.26,785158140.17,987691544.63,38673292.02,1217158.11,27894,75,94,0.8369609254574266
2016-02-01,784883258.64,743420596.66,883145268.92,38796662.29,1116579.39,27564,86,91,0.8887362999745616
2016-03-01,869143227.1500001,822485795.96,1002858642.22,43755400.93,1166932.37,29084,82,91,0.8666657398753648
2016-04-01,885384810.98,840284169.73,1269413292.82,42284849.49,1133251.27,25623,85,92,0.6974756101798169
2016-05-01,872555446.19,833653072.24,865300389.95,36052840.03,1259159.93,31203,82,94,1.0083844365774748
2016-06-01,851174551.54,808590663.78,701645081.22,39557023.07,1208963.42,35251,81,95,1.2131126894811297
2016-07-01,848300517.02,800962721.62,766335597.13,44552470.73,1144999.85,33361,80,93,1.1069569522764784
2016-08-01,1016524686.17,954993679.12,1011229668.9000001,58215324.4,1338823.31,39595,85,94,1.0052362162947213
2016-09-01,967376808.69,915689958.72,975653157.19,48525564.78,1395783.92,36437,89,93,0.9915171201579085
2016-10-01,887479283.6,837289004.45,938954892.01,47369782.62,1191538.98,34023,85,92,0.945177762160856
2016-11-01,929932302.69,878199380.79,979119250.34,48609734.67,1378603.15,36366,81,93,0.9497640888656619
2016-12-01,902442162.03,851710181.73,796833162.75,47607869.75,1281578.27,39658,87,94,1.1325358986259135
2017-01-01,892316344.08,843416965.04,903126754.75,45944368.16,1189664.95,33599,81,94,0.9880300183632668
2017-02-01,936546873.45,881033830.82,1090596433.78,52747261.39,1180882.4,33067,84,94,0.8587474197067881
2017-03-01,962533571.41,907296591.52,1114849057.97,52497853.63,1167256.06,30292,83,92,0.8633756870752105
2017-04-01,899930204.51,850981577.3,1070938707.65,46248201.47,1125831.04,30256,84,91,0.8403190566197293
2017-05-01,799523424.9,760157162.87,672119664.11,37045264.83,963989.21,32791,82,92,1.1895551753551268
2017-06-01,977166413.73,921876959.41,950357449.64,52024628.4,1316137.3699999999,44452,86,93,1.028209348072302
2017-07-01,863888802.86,816822669.09,762061464.15,44256220.95,1196537.49,42011,87,94,1.13362090001963
2017-08-01,953035684.56,897035278.88,882355962.75,51838245.45,1567600.67,39754,86,92,1.0801034104078762
2017-09-01,921309597.1,868049268.2,848689989.77,49090323.67,1157441.52,35025,85,91,1.085566706577605
2017-10-01,900622269.17,849581668.22,809600032.08,47073847.48,1109408.43,35090,91,92,1.1124286480771848
2017-11-01,886125133.26,833457495.52,870477441.39,49097638.4,1221523.52,37846,82,93,1.0179759878039039
2017-12-01,834990473.95,787312206.1,701763397.66,44471675.49,1111485.75,36530,82,92,1.1898461457725495
2018-01-01,931335898.77,878323584.51,946202492.81,50069236.67,1121771.2,36381,81,93,0.9842881474600118
2018-02-01,846594967.27,801454538.28,761944887.02,42282825.18,1101288.58,30830,75,91,1.1110973794719854
2018-03-01,898096019.63,846261458.39,935724217.74,48914343.13,1130997.89,32515,87,92,0.9597870853434988
2018-04-01,1043429951.84,987028672.1,1096780268.21,53017047.510000005,1182638.33,33935,87,91,0.9513573339014656
2018-05-01,997314519.85,950004669.15,914365956.19,44050694.48,1193422.5,35056,88,92,1.090717029760854
2018-06-01,1056184777.51,1008673621.78,896802469.47,44145296.36,1266235.19,37189,87,92,1.1777228692670674
2018-07-01,1067653728.86,1014904863.33,949254485.24,49124453.11,1236227.27,39768,86,92,1.1247286638735925
2018-08-01,1170291159.11,1106920883.16,1052599522.44,58217466.46,1359713.07,41983,96,92,1.1118104598766891
2018-09-01,936675328.95,887242606.4300001,708594357.8199999,44746034.599999994,1135130.81,34155,90,90,1.321878051402631
2018-10-01,1223975355.96,1156056431.66,936557708.52,62318573.02,1478157.28,46305,96,92,1.30688727968957
